deposit,monthly_rent,room_qty,unit_area,has_elevator,building_floor_count,unit_floor,has_storage_area,property_age,Cluster
36000000.0,864000.0,1.0,60,True,4.0,2.0,False,6.0,2
28800000.000000004,1296000.0,1.0,45,True,4.0,1.0,True,4.0,0
122400000.00000001,0.0,2.0,86,True,4.0,5.0,False,5.0,1
61920000.00000001,0.0,1.0,58,False,4.0,0.0,False,25.0,2
86400000.0,0.0,1.0,42,True,4.0,1.0,True,0.0,0
21600000.0,936000.0000000001,1.0,46,False,4.0,1.0,False,19.0,0
72000000.0,540000.0,2.0,68,False,4.0,3.0,True,15.0,2
151200000.0,0.0,1.0,64,False,4.0,2.0,True,16.0,2
46800000.0,360000.0,1.0,68,True,4.0,2.0,True,5.0,2
144000000.0,0.0,2.0,89,True,4.0,0.0,True,0.0,1
57600000.00000001,1943999.9999999998,2.0,74,False,4.0,2.0,True,14.0,1
61200000.00000001,1692000.0,2.0,66,False,4.0,2.0,True,15.0,2
28800000.000000004,1440000.0,1.0,58,False,4.0,2.0,True,12.0,2
21600000.0,1440000.0,1.0,53,False,4.0,4.0,True,25.0,0
46800000.0,864000.0,1.0,77,False,4.0,2.0,True,24.0,1
108000000.00000001,1440000.0,2.0,77,True,4.0,0.0,False,14.0,1
14400000.000000002,1080000.0,0.0,32,False,4.0,4.0,False,14.0,0
108000000.00000001,720000.0,1.0,58,True,4.0,1.0,True,8.0,2
28800000.000000004,720000.0,1.0,53,False,4.0,1.0,False,30.0,0
72000000.0,1080000.0,1.0,58,False,4.0,2.0,True,8.0,2
18000000.0,1152000.0,1.0,47,False,4.0,2.0,False,14.0,0
108000000.00000001,504000.0,2.0,79,True,4.0,1.0,False,7.0,1
50400000.0,1080000.0,1.0,58,False,4.0,2.0,True,15.0,2
100800000.0,432000.0,1.0,58,True,4.0,1.0,True,6.0,2
28800000.000000004,1008000.0,2.0,53,False,4.0,1.0,False,13.0,0
36000000.0,720000.0,1.0,47,False,4.0,0.0,True,15.0,0
180000000.0,0.0,2.0,74,False,4.0,3.0,True,9.0,1
64800000.00000001,0.0,1.0,55,False,4.0,4.0,True,10.0,0
25200000.0,0.0,0.0,26,False,4.0,-1.0,True,12.0,0
28800000.000000004,1440000.0,1.0,53,True,4.0,2.0,True,6.0,0
108000000.00000001,0.0,1.0,62,True,4.0,1.0,True,12.0,2
36000000.0,2304000.0,1.0,58,False,4.0,2.0,True,16.0,2
72000000.0,0.0,1.0,45,False,4.0,1.0,False,12.0,0
57600000.00000001,504000.0,1.0,46,False,4.0,3.0,True,5.0,0
86400000.0,0.0,1.0,54,False,4.0,1.0,False,19.0,0
54000000.00000001,0.0,1.0,63,False,4.0,2.0,False,4.0,2
72000000.0,2880000.0,2.0,96,True,4.0,4.0,True,6.0,3
57600000.00000001,1080000.0,2.0,68,False,4.0,1.0,False,12.0,2
50400000.0,2736000.0,2.0,63,True,4.0,4.0,True,3.0,2
14400000.000000002,1440000.0,1.0,53,False,4.0,3.0,False,13.0,0
50400000.0,432000.0,1.0,42,False,4.0,1.0,True,18.0,0
129600000.00000001,0.0,2.0,76,True,4.0,1.0,True,8.0,1
46800000.0,720000.0,1.0,62,False,4.0,4.0,False,10.0,2
18000000.0,1512000.0000000002,1.0,39,True,4.0,1.0,True,10.0,0
108000000.00000001,360000.0,1.0,47,False,4.0,4.0,True,20.0,0
122400000.00000001,0.0,1.0,74,False,4.0,3.0,True,16.0,1
79200000.0,0.0,1.0,63,False,4.0,4.0,True,5.0,2
72000000.0,0.0,1.0,42,False,4.0,3.0,False,4.0,0
72000000.0,0.0,1.0,53,False,4.0,2.0,True,25.0,0
183600000.0,0.0,2.0,84,True,4.0,3.0,False,6.0,1
18000000.0,1116000.0,1.0,74,False,4.0,1.0,True,30.0,1
36000000.0,3600000.0,2.0,77,False,4.0,1.0,False,14.0,1
108000000.00000001,0.0,2.0,109,False,4.0,0.0,False,9.0,3
82800000.0,0.0,2.0,68,False,4.0,3.0,True,24.0,2
79200000.0,0.0,1.0,63,False,4.0,1.0,True,12.0,2
43200000.0,1440000.0,2.0,79,False,4.0,1.0,True,15.0,1
36000000.0,1332000.0,1.0,70,True,4.0,5.0,True,4.0,2
36000000.0,1800000.0,1.0,79,False,4.0,2.0,True,19.0,1
79200000.0,0.0,1.0,54,False,4.0,4.0,True,9.0,0
79200000.0,0.0,1.0,50,False,4.0,1.0,True,10.0,0
158400000.0,0.0,2.0,74,False,4.0,3.0,True,17.0,1
82800000.0,1080000.0,2.0,84,False,4.0,3.0,False,10.0,1
14400000.000000002,1440000.0,1.0,53,False,4.0,4.0,True,15.0,0
46800000.0,936000.0000000001,1.0,68,False,4.0,4.0,True,19.0,2
100800000.0,3024000.0000000005,3.0,100,False,4.0,1.0,True,14.0,3
97200000.0,0.0,2.0,63,False,4.0,4.0,True,21.0,2
36000000.0,1296000.0,1.0,55,False,4.0,3.0,True,12.0,0
28800000.000000004,3240000.0,2.0,95,False,4.0,3.0,True,24.0,3
72000000.0,432000.0,1.0,61,False,4.0,1.0,False,10.0,2
72000000.0,3528000.0,2.0,95,True,4.0,1.0,True,14.0,3
72000000.0,0.0,1.0,53,False,4.0,4.0,True,16.0,0
36000000.0,1440000.0,1.0,47,False,4.0,3.0,True,10.0,0
108000000.00000001,0.0,1.0,53,True,4.0,3.0,True,7.0,0
86400000.0,0.0,1.0,59,False,4.0,1.0,True,15.0,2
36000000.0,2160000.0,1.0,58,False,4.0,2.0,True,16.0,2
36000000.0,2016000.0,1.0,49,False,4.0,3.0,True,17.0,0
36000000.0,1080000.0,1.0,42,False,4.0,2.0,True,15.0,0
180000000.0,0.0,2.0,105,False,4.0,1.0,False,30.0,3
21600000.0,1800000.0,2.0,74,False,4.0,1.0,False,24.0,1
57600000.00000001,0.0,1.0,42,True,4.0,3.0,True,7.0,0
46800000.0,432000.0,1.0,46,False,4.0,1.0,False,17.0,0
57600000.00000001,1512000.0000000002,2.0,63,True,4.0,3.0,True,17.0,2
122400000.00000001,0.0,2.0,70,False,4.0,4.0,True,16.0,2
25200000.0,936000.0000000001,1.0,45,True,4.0,1.0,False,3.0,0
187200000.0,0.0,2.0,95,True,4.0,2.0,True,13.0,3
64800000.00000001,1440000.0,1.0,63,False,4.0,2.0,True,18.0,2
57600000.00000001,396000.0,1.0,68,False,4.0,3.0,False,12.0,2
79200000.0,0.0,2.0,64,False,4.0,3.0,False,14.0,2
79200000.0,360000.0,1.0,53,False,4.0,4.0,True,14.0,0
72000000.0,1080000.0,2.0,82,False,4.0,4.0,True,18.0,1
93600000.0,1080000.0,2.0,56,True,4.0,1.0,True,14.0,2
57600000.00000001,1440000.0,1.0,63,False,4.0,1.0,True,9.0,2
28800000.000000004,1296000.0,1.0,63,False,4.0,1.0,False,19.0,2
36000000.0,2160000.0,2.0,74,False,4.0,2.0,False,19.0,1
14400000.000000002,1152000.0,1.0,53,False,4.0,3.0,False,17.0,0
72000000.0,1980000.0,2.0,79,True,4.0,4.0,True,10.0,1
43200000.0,1584000.0,2.0,76,True,4.0,1.0,False,5.0,1
25200000.0,936000.0000000001,1.0,53,False,4.0,3.0,True,9.0,0
21600000.0,504000.0,1.0,56,False,4.0,2.0,False,30.0,2
100800000.0,1080000.0,2.0,67,True,4.0,4.0,False,4.0,2
39600000.0,360000.0,1.0,50,False,4.0,4.0,True,11.0,0
28800000.000000004,1224000.0,1.0,53,False,4.0,1.0,False,13.0,0
93600000.0,1512000.0000000002,2.0,69,False,4.0,2.0,True,15.0,2
28800000.000000004,3600000.0,2.0,64,True,4.0,2.0,True,15.0,2
144000000.0,0.0,2.0,70,False,4.0,4.0,True,14.0,2
50400000.0,0.0,1.0,53,False,4.0,2.0,False,28.0,0
36000000.0,1224000.0,1.0,55,False,4.0,4.0,True,14.0,0
36000000.0,1080000.0,1.0,58,True,4.0,2.0,True,13.0,2
122400000.00000001,0.0,2.0,63,False,4.0,3.0,False,20.0,2
100800000.0,0.0,2.0,63,False,4.0,4.0,True,14.0,2
108000000.00000001,0.0,1.0,54,False,4.0,3.0,True,10.0,0
113759999.99999999,0.0,2.0,63,False,4.0,3.0,True,13.0,2
72000000.0,0.0,1.0,58,False,4.0,2.0,False,12.0,2
15840000.0,1080000.0,1.0,47,False,4.0,3.0,True,17.0,0
43200000.0,936000.0000000001,2.0,84,False,4.0,3.0,True,15.0,1
36000000.0,2880000.0,2.0,110,True,4.0,6.0,True,4.0,3
46800000.0,1008000.0,1.0,58,False,4.0,2.0,True,14.0,2
43200000.0,864000.0,1.0,53,False,4.0,3.0,True,16.0,0
50400000.0,1440000.0,2.0,65,False,4.0,1.0,False,14.0,2
50400000.0,1943999.9999999998,2.0,89,True,4.0,4.0,False,9.0,1
86400000.0,216000.0,1.0,64,False,4.0,4.0,True,12.0,2
57600000.00000001,2160000.0,2.0,107,True,4.0,4.0,True,1.0,3
